date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Oct%202023%2023:10:23%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	D:/CV/CV/img1.wsimg.com/traffic-assets/js/tccl.min.a.delayed	(from https://christiangarry.com/)
00:10:26	19809/19809	---M-Z	200	added ('OK')	application/javascript	etag:%22c7c455788653a0fffd52d955e31a3a0b%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/5f83ad88e40d14fe/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/5f83ad88e40d14fe/script.js	(from https://christiangarry.com/)
00:10:27	61067/61067	---M-Z	200	added ('OK')	application/javascript	etag:%2253918ff0fc5e3674398305055c18a048%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/e79bfbd44c2e9f3d/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/e79bfbd44c2e9f3d/script.js	(from https://christiangarry.com/sic-jfet-rtl-cpu)
00:10:28	26435/26435	---M-Z	200	added ('OK')	application/javascript	etag:%228b7564b0bdccffe94e35e9ce7e5337d8%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/a24b98ad69616ca6/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/a24b98ad69616ca6/script.js	(from https://christiangarry.com/sic-jfet-rtl-cpu)
00:10:28	61067/61067	---M-Z	200	added ('OK')	application/javascript	etag:%2273bdb28fea523735895822af2371e8ce%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/b5e8aab56b69a0a8/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/b5e8aab56b69a0a8/script.js	(from https://christiangarry.com/hydrogen-fuel-system)
00:10:29	26467/26467	---M-Z	200	added ('OK')	application/javascript	etag:%22bd59b742e577c2b89740c7dbed0c0521%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/830282ba7041ea5b/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/830282ba7041ea5b/script.js	(from https://christiangarry.com/hydrogen-fuel-system)
00:10:30	26467/26467	---M-Z	200	added ('OK')	application/javascript	etag:%220c188be4185a8fd0af9a670e65aa1e33%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/52c096c50ae87455/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/52c096c50ae87455/script.js	(from https://christiangarry.com/electronic-differential)
00:10:30	61067/61067	---M-Z	200	added ('OK')	application/javascript	etag:%223601687c55e7df3d0c6fa649d7ec909a%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/4d2e3283a8b98a6d/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/4d2e3283a8b98a6d/script.js	(from https://christiangarry.com/electronic-differential)
00:10:31	26423/26423	---M-Z	200	added ('OK')	application/javascript	etag:%222427004db2a66dcf4d57c62224e186a8%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/8e75a7be8f2f5e55/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/8e75a7be8f2f5e55/script.js	(from https://christiangarry.com/about-me)
00:10:31	61067/61067	---M-Z	200	added ('OK')	application/javascript	etag:%22386cc39e9d6e2bb921a50b91fe1e991e%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/b68b17c0bdc854d6/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/b68b17c0bdc854d6/script.js	(from https://christiangarry.com/about-me)
00:10:32	315585/315585	---M-Z	200	added ('OK')	application/javascript	etag:%22c218d07edab85f33ab09ce2db58115a4%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.34.4.js	D:/CV/CV/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.34.4.js	(from https://christiangarry.com/)
